Decision ID,Context Key,Options (patch),Default (patch),Current Options,Current Default,Note
DEC-ID-002,hldCaModel,VMCA | MICROSOFT_CA | OPENSSL | ENTERPRISE_PKI,ENTERPRISE_PKI,VMCA | MICROSOFT_CA | OPENSSL | ENTERPRISE_PKI,ENTERPRISE_PKI,unchanged
DEC-ID-003,hldVaultModel,PLATFORM | ENTERPRISE_VAULT | HYBRID,PLATFORM,PLATFORM | ENTERPRISE_VAULT | HYBRID,PLATFORM,unchanged
DEC-LCM-001,hldLifecycleStrategy,STANDARD | ROLLING | LIVE_PATCH,ROLLING,STANDARD | ROLLING | LIVE_PATCH,ROLLING,unchanged
DEC-OPS-001,hldOpsTopology,STANDARD | HA | CONTINUOUS,HA,STANDARD | HA | CONTINUOUS,HA,unchanged
DEC-OPS-002,hldTelemetryModel,CORE | CENTRALIZED | DISTRIBUTED,CENTRALIZED,CORE | CENTRALIZED | DISTRIBUTED,CENTRALIZED,unchanged
DEC-OPS-003,hldGovernanceModel,CENTRALIZED | DELEGATED | HYBRID,CENTRALIZED,CENTRALIZED | DELEGATED | HYBRID,CENTRALIZED,unchanged
DEC-AUTO-001,derivedAuto,true | false,false,true | false,false,options expanded to app enums
DEC-AUTO-002,hldPlacementGovernance,UNRESOLVED | NONE | CLOUD_ZONES | TAG_BASED | PROJECT_REGULATORY | CUSTOM,UNRESOLVED,ARCHITECT_DEFINED,UNRESOLVED,options expanded to app enums
DEC-VKS-001,hldIncVKS,true | false,false,true | false,false,options expanded to app enums
DEC-VKS-002,hldVksTopology,SINGLE_ZONE | ZONAL,SINGLE_ZONE,SINGLE_ZONE | ZONAL,SINGLE_ZONE,unchanged
DEC-VKS-003,hldVksNetworking,VDS | NSX_VPC | MULTI_NETWORK,NSX_VPC,VDS | NSX_VPC | MULTI_NETWORK,NSX_VPC,unchanged
DEC-AI-001,hldIncAI,true | false,false,true | false,false,options expanded to app enums
DEC-AI-002,hldAiDataProfile,UNRESOLVED | GENERAL | GPU_DENSE | DATA_LOCAL | CUSTOM,UNRESOLVED,ARCHITECT_DEFINED,UNRESOLVED,options expanded to app enums
DEC-SEC-001,hldSecurityServices,BASELINE | MICROSEGMENTATION | IDS_IPS | FULL,BASELINE,BASELINE | MICROSEGMENTATION | IDS_IPS | FULL,BASELINE,unchanged
DEC-MOB-001,derivedHcx,true | false,false,NONE | HCX,NONE,boolean aligned to app
DEC-COST-001,hldCostModel,CENTRAL | BUSINESS_UNIT | TENANT,CENTRAL,CENTRAL | BUSINESS_UNIT | TENANT,CENTRAL,unchanged
DEC-EDGE-001,activeEdgePattern,PATTERN_1..PATTERN_10,UNRESOLVED,PATTERN_1..PATTERN_10,UNRESOLVED,unchanged
